nodes_g,edges_g,nodes_gtilde,edges_gtilde,dijkstra_time,lp_writing_time,lp_optimization_time
99,425,686,1041,0.002722024917602539,0.12862586975097656,0.0050411224365234375
247,1144,1821,2797,0.008813142776489258,0.7944707870483398,0.01804804801940918
497,2244,3621,5533,0.03576803207397461,3.0671591758728027,0.03503680229187012
996,4490,7194,11014,0.07637409210205078,12.005364894866943,0.07091808319091797
1995,8950,14331,21967,0.13006114959716797,51.83459496498108,0.15426206588745117
2993,13581,21889,33430,0.19048810005187988,146.01214909553528,0.29057884216308594
3985,17910,28753,44007,0.2733941078186035,319.4430751800537,0.43993425369262695
4985,22472,36102,55256,0.3464510440826416,524.1623618602753,0.4582808017730713
5984,26984,43317,66264,0.41420602798461914,646.4478368759155,0.7223939895629883
6983,31611,50951,77913,0.5655910968780518,1108.5671439170837,1.1570279598236084
